number,address,description 
1021439,3512 NE 105TH ST,unsecured shed; fire damaged house; outdoor storage.
1021438,10323 9TH AVE NW,"Open to entry, outdoor storage, pictures in file."
1021437,1860 24TH AVE E,"Garage open to entry, pictures in file."
1021436,2036 S COLUMBIAN WAY,Permit 6235754 was issued 12/15/09 for work originally started without a permit and inspections.
1021435,3601 WALLINGFORD AVE N,HBMC violations-
1021434,11410 RENTON AVE S,VIOLATION ALERT VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE CONFIRMED IN NC130 ZONE.OWNERS MUST DISCONTINUE MAINTENANCE/USE OF HEAVY COMMERCIAL SERVICES ON THE PROPERTY. A HEAVY COMMERCIAL SERVICES USE IS PROHIBITED IN A NEIGHBORHOOD COMMERCIAL (NC1) ZONE.
1021433,8839 36TH AVE S,Constructing a structure larger than 120 sq.ft. requires permits and inspections from DPD.
1021432,9025 CECIL AVE S,"Grading more than 300 to 400cu.yds. & destroying more than 1500sq.ft.of trees and vegetation in a Steep Slope, Potential Slide & Wildlife Habitat Environmentally Critical Area (ECA) requires permisssion from Parks for grading at 3400 Edward Dr S and permits & inspections from DPD. STOP WORK ORDER posted 11/20/09. Site stabilization is the only work allowed until permits obtained. (responsible party)"
1021431,2313 25TH AVE S,No Emergency issues/no leaks at time of inspec:condensation causing moisture at window sill. Outlets covers cracked or missing. photos in file.
1021430,8839 36TH AVE S,Grading more than 25 cu.yds. in Steep Slope & Potential Slide ECA requires permission from Parks for grading at 3400 Edward Dr S and a permit & inspections from DPD. (responsible party)
1021429,2309 25TH AVE S,Violation of the HBMC
1021428,8017 MERIDIAN AVE N,"Open to entry in 3 locations, pictures in file.  Appears to be at least six inches of water in the basement & it seems to be coming through the floors.  Exterior North wall bay window push-out leaking through wall & floor. Various deteriorated assemblies, see Warning."
1021427,1468 21ST AVE,Violation of the Just Cause Eviction Ordinance.
1021426,13719 DENSMORE AVE N,junk storage in sf5000
1021425,10047 DENSMORE AVE N,veg o/g on st
1021424,1025 N 36TH ST,"Front & rear doors unsecured, deterioration, veg. overgrowth, pictures in file."
1021423,1605 BELLEVUE AVE,Open to weather due to fire damage.
1021422,8759 13TH AVE NW,Zoning violations.
1021421,3920 27TH AVE S,"original address incorrect; occupied group home with no violations, picture in file.  Amended address has locked gates so access is limited to the alley, pictures in file of junk storage."
1021420,210 28TH AVE S,"Outdoor storage, pictures in file."
1021419,7310 RAINIER AVE S,"VIOLATIONS OF THE SEATTLE LAND USE AND ZONING CODE (OBSERVED REFRIGERATOR,  RANGE,AUTO TIRES TELEVISIONS, CARPER MATERIAL HOUSEHOLD GOODS IN YARDS AND ON EXTERIOR CORRIDORS ).. TOOK PHOTOS."
1021418,7310 RAINIER AVE S,VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTERNANCE CODE OBSERVED (EVIDENCE OF COACKROACH INFESTATION PROVIDED INOPERABLE HEATER IN LIVING ROOM AND OTHETR VIOLATIONS) TOOK PHOTOS.
1021417,3256 S FERDINAND ST,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (PORTION OF CARPORT ADDITION ON WEST WALL  IS IN SIDE YARD; VEHICLE PARKED IN REQUIRED FRONT YARD).TOOK PHOTOS.
1021416,3256 S FERDINAND ST,VIOLATION ALERT VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED(OFF-STREET PARKING IN  DETACHED GARAGE WAS ELIMINATED WITHOUT REQUIRED PERMIT)
1021415,3256 S FERDINAND ST,"VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTERNANCE CODE OBSERVED EXPOSED WIRING ON LAUNDRY ROOM JUNCTION BOX, INTERIOR LOCKS ON EXTERIOR DOOR, UNGROUNDED OUTLETS IN SEVERAL ROOMS). TOOK PHOTOS."
1021414,3902 13TH AVE S,"Inspection shows inoperable vehicles (Z-car, Mustang) and outdoor junk storage such as but limited to bags of garbage, wood, tires , tv and monitors, metal rack, and other misc. items.  Outdoor junk storage not allowed in single family zones."
1021413,7408 RAINIER AVE S,Violation of Just Cause Eviction Ordinance
1021412,4231 S SPENCER ST,VIOLATIONS OF THE SEATTLE LAND USE AND ZONING CODE CONFIRMED.(CAMPER IN REAR ABANDONED BY PREVIOUS TENANTS & ATTRACTING TRANSIENTS). TOOK PHOTOS.
1021411,4231 S SPENCER ST,"VIOLATIONS OF THE SEATTLE LAND USE AND ZONING CODE CONFIRMED. (SHED IN REQUIRED SIDE YARD AND LESS THAN 5 FEET FROM RESIDENCE, CAMPER ABANDONED BY PREVIOUS TENANTS). TOOK PHOTOS."
1021410,4524 7TH AVE NE,Failure to pay emergency relocation assistance pursuant to SMC 22.206.260.
1021409,811 W HALLADAY ST,Outdoor junk storage.
1021408,1415 SUNSET AVE SW,Violation of Weeds & Vegetation Ord-
1021407,1411 SUNSET AVE SW,Violation of Weeds & Vegetation Ord-
1021406,5018 32ND AVE S,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED(FRONT YARD PARKING; AUTO HOOD, TIRE AND OTHER JUNK STORAGE IN YARD) TOOK PHOTOS."
1021405,8839 36TH AVE S,Grading more than 25 cu.yds. in Steep Slope & Potential Slide ECA requires permission from Parks for grading at 3400 Edward Dr S and a permit & inspections from DPD.(owner)
1021404,4551 W RAYE ST,Weeds and vegetation violation.
1021403,3100 W JAMESON ST,Zoning violation.
1021402,7401 RAINIER AVE S,"12/22/09 bg - HBMC violations in Unit 120, photos taken."
1021401,7902 DUNCAN AVE S,"Permits 6237881, 6237815 & 6237109 were issued for work originally started without a permit and received final approval 3/26/10."
1021400,5100 S FOUNTAIN ST,"12/22/09 - Parking in required front yard, blocking access to off street parking. photos taken"
1021399,7721 15TH AVE NE,Violation of Land Use Code observed.
1021398,6242 34TH AVE NE,Violation of Land Use Code observed.
1021397,11038 LAKE CITY WAY NE,Land Use Code violation
1021396,9044 4TH AVE NW,"Fenced site, locked gates, access limited.  Appears secure; outdoor strorage, pictures in file."
1021395,4714 19TH AVE NE,Violation of Land Use Code observed.
1021394,523 N 84TH ST,Illegal unit
1021393,5601 PALATINE PL N,Illegal unit
1021392,12317 35TH AVE NE,Land Use Code Violation
1021391,12315 35TH AVE NE,Land Use Code Violation
1021390,12317 35TH AVE NE,Land Use Code Violation
1021389,12315 35TH AVE NE,Land Use Code Violation
1021388,2602 4TH AVE,Violation of Weed & Veg Ord
1021348,12755 27TH AVE NE,Violation of the Land Use Code.
1021387,5416 DELRIDGE WAY SW,"12/18/09 ej-Inspection shows outdoor junk storage such as but not limited to wood, televisions, cardboard and other miscellaneous items."
1021386,2302 4TH AVE,Violation HBMC
1021385,320 CEDAR ST,
1021384,6715 CALIFORNIA AVE SW,Violation of Land Use- Outdoor junk storage
1021383,6557 40TH AVE SW,12/18/09 ej-Inspection shows vegetation encroaching onto the sidewalk along SW Holly St
1021382,3922 SW HOLLY ST,Violation of Weeds & Vegetation Ord-
1021381,4732 45TH AVE SW,Violation of Weeds & Vegetation Ord-
1021380,4736 45TH AVE SW,Violation of Weeds & Vegetation Ord
1021379,4740 45TH AVE SW,Violation of Weeds & Vegetation Ord-
1021378,4750 45TH AVE SW,Violation of Weeds & Vegetation Ord-
1021377,2515 E UNION ST,Violation of the Land Use & Zoning Code
1021376,222 15TH AVE,12/13/09Finally have contact w/tenant/Violations HBMC
1021375,13003 3RD AVE NW,Outdoor storage and a car shell.
1021374,6444 23RD AVE S,The electric power service has been terminated by the owner of the property and SCL - for alleged safety reasons. It was reported that the electricity was arcing from the masthead to the house and could possibly have caused a fire. The tenant says he was not told of this and wants the power back on.
1021373,4530 52ND AVE NE,INADEQUATE EROSION CONTROL ON SLOPE @ SE CORNER AT TRENCHLINE--CLEAN STREET/SIDEWALK AND STABILIZE SOILS
1021372,2625 BOYLSTON AVE E,zoning violations_
1021371,1513 1ST AVE,Issuance of an Owner's Certification of Exemption from the requirements of the Tenant Relocation Assistance Ordinance (SMC Chpater 22.210)
1021370,400 12TH AVE E,Unit 1A has not been permitted.
1021369,5014 MERIDIAN AVE N,PERMIT REQUIRED FOR REAR YARD STRUCTURE
1021349,6250 33RD AVE NE,BUILDING HAS BEEN CHANGED TO A MIXED USE--3 RESIDENTIAL UNITS AND 2 OFFICES--NEED TO GET CHANGE OF USE PERMIT
1021368,5320 M L KING JR WAY S,VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE OBSERVED (EVIDENCE OF WATER LEAKE AROUND LIVING ROOM WINDOW). OCCUPANT WILL PROVIDE ACCESS OR PHOTOS WHEN SILL IS WET.
1021367,503 13TH AVE E,Water leaking in from the roof and an inoperable bath fan.
1021366,4742 20TH AVE NE,Violations of Housing Building and Maintenance Code.
1021365,4249 22ND AVE W,unfit blding
1021364,4253 22ND AVE W,"requested abatement, unfit single family residence"
1021363,11038 LAKE CITY WAY NE,HBMC violation
1021362,1902 2ND AVE,Violation of HBMC
1021361,330 NW 75TH ST,ZONING VIOLATION
1021360,141 NW 74TH ST,Zoning violation
1021359,210 28TH AVE S,"Open to entry via front door, picture in file."
1021358,7328 18TH AVE NE,PROVIDE ENGINEERING ON SITE FOR 7 FOOT FOUNDATION WALL
1021357,8412 DELRIDGE WAY SW,12/11/09 EJ - Inspection shows outdoor junk storage such as but not limited to mattresses located in the rear of the building.
1021356,218 15TH AVE,"Open to entry via enclosed front porch, picture in file."
1021355,2818B BOYER AVE E,Observed repair of accessory float @ end of pier. In-water work occurring within work window. Told owner to apply for shoreline exemption.  Also: P/T wood decking observed on a separate new float w/o permit.  New float was observed on shoreward side of same floating home.
1021354,7509 CALIFORNIA AVE SW,"12/15/09 ej- Inspection shows housing code violation, leaking water pipes in the basement."
1021353,4850 BEACON AVE S,Permit 6236809 was issued 7/26/10 and received final approval 6/10/11 for work originally started without a  permit and inspections.
1021352,1605 BELLEVUE AVE,Open to entry via window on East wall.
1021351,8401 LINDEN AVE N,"HBMC violations, extermination req'd"
1021350,13544 27TH AVE NE,Land Use Code Violation
1021308,420 BLANCHARD ST,Violation of the HBMC
1021347,12753 27TH AVE NE,Violation of Land Use Code observed
1021346,5927 SHAFFER AVE S,Permit 6213234 was issued 5/26/10 and received final approval 8/26/10 for work originally started without a permit and inspections.
1021345,1909 N 143RD ST,outdoor junk in sf zone
1021344,7310 EARL AVE NW,Zoning violation.
1021343,9632 AURORA AVE N,"Violation of Just Cause Eviction Ordinance, deficient Ten (10) Day Notice to Comply."
1021342,2606 21ST AVE S,Permit 6238639 was issued 1/22/10 and received final approval 3/10/10 for work originally performed without a permit.
1021341,1733 27TH AVE,"Very large laurel bush encroaches into the public ROW, sidewalk and street and prevents view of vehicles at the intersection."
1021340,8412 DELRIDGE WAY SW,12/11/09 EJ - Inspection shows outdoor junk storage such as but not limited to mattresses located in the rear of the building.
1021339,1700 LAKE WASHINGTON BLVD S,two small piles of leaves - very small tree branch encroaches into ROW on the north side of property. PB
1021338,1700 LAKE WASHINGTON BLVD S,two small piles of leaves - very small tree branch encroaches into ROW on the north side of property.
1021337,1427 3RD AVE,THE SIGN ON THE KRESS BUILDING MUST ADVERTISE THE KRESS SUPERMARKET OR BE REMOVED
1021336,13437 GREENWOOD AVE N,Housing violation.
1021335,1411 E ALDER ST,"No outdoor storage of junk in the front yard of the property; west side yard: garbage, bags, plastic containers, and some kind of wooden structure, wood pieces in the side and rear yard."
1021334,1750 16TH AVE S,"Parking in the required front yard; 3 cars, may or may not be inoperable and one wooden trailer (pb). Observed misc junk storage in front of house(dmc)."
1021333,672 S KING ST,International Special Review District (ISRD) Certificate of Approval ISRD 72/10 & related letter from Stella Chao to Paul Wu ISRD 73/10 were issued 3/24/10.
1021332,1717 N 85TH ST,"LU violation, sf zone"
1021331,2519 1ST AVE,hbmc violations
1021330,731 N 86TH ST,junk storage & pking on sf prop
1021329,11538 FREMONT AVE N,junk storage on sf prop
1021328,921 AURORA AVE N,"OBTAIN ALL REQUIRED FINAL APPROVALS, SUBMIT FINAL SPECIAL INSPECTION REPORTS AND CALL FOR INSPECTION"
1021327,140 NE 55TH ST,HBMC Violation
1021326,4831 S KENYON ST,Constructing additions to a single family residence requires permits and inspections from DPD. STOP WORK ORDER posted 12/8/09.
1021325,3609 SW HOLDEN ST,Permit 6235245 was issued 12/9/09 and received final approval 4/11/11 for electrical work to install a hot tub originally performed without a permit and inspections.
1021324,2159 10TH AVE W,PERMIT NEEDED FOR BASEMENT REMODEL
1021323,12339 15TH AVE NE,GENERATOR WAS INSTALLED UNDER PERMIT AND MEETS CODE REQUIREMENTS
1021322,4836 49TH AVE SW,Inspection show rear door of the house open to entry.
1021321,14352 LENORA PL N,Land Use Code Violation
1021320,5004 30TH AVE S,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (SCRAP WOOD AND HOUSEHOLD GOODS IN DRIVEWAY AND YARDS). UNABLE TO VERIFY IF DIRT IN YARD WAS EXCAVATED ON PREMISES.
1021319,4512 35TH AVE S,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED(COUCH AND GLASS MATERIAL IN YARD.)
1021318,10401 GREENWOOD AVE N,veg o/g w sent
1021317,5000 25TH AVE SW,Violation of HBMC
1021316,2800 1ST AVE,Violation of the Land Use & Zoning Code.
1021315,6317 15TH AVE NE,EO
1021314,914 S WARSAW ST,12/10/09 ej-Inspection shows vegetation encroaching into the alleyway and onto S Warsaw St.
1021313,5421 60TH AVE NE,NEED TO INTALL SILT FENCES ON SOUTH AND WEST SIDES
1021312,322 31ST AVE E,Vegetation and hedges growing over the sidewalk.
1021311,1827 NE 58TH ST,STOP WORK POSTED--OWNER SAYS HE WILL GET PERMITS FOR THE ENTIRE SCOPE OF JOB
1021310,757 BROADWAY E,Hedges over the sidewalk.
1021309,8402 LINDEN AVE N,All windows & doors appear secure but complete access was limited by veg. overgrowth & trespass issues.
1021307,2108 NE 54TH ST,Violation of Land Use Code observed. PR
1021306,1200 OLYMPIC WAY W,condo conversion
1021305,5229 21ST AVE NE,Violation of Land Use Code observed.
1021304,1407 NW 54TH ST,Zoning violation.
1021303,5236 18TH AVE SW,Permit 6236046 was issued 1/11/10 and received final approval 10/7/11 for work originally performed without a permit and inspections.
1021302,3638 BEACH DR SW,1/8/09 DG Just received complaint today. Not sure who had this on their desk. I called the complainant and left a message on their VM. I will do an inspection today.
1021301,3638 BEACH DR SW,1/8/09 DG Just received complaint today. Not sure who had this on their desk. I called the complainant and left a message on their VM. I will do an inspection today.
1021300,2209 E ROANOKE ST,"Multiple housing violations including, but not limited to, egress window issues with the basement windows and a missing handrail."
1021299,7389 25TH AVE NE,Land Use Code Violation
1021298,1752 26TH AVE E,Outdoor storage of garbage bags (leaves I think). The Honda does not meet our description for being inoperable.
1021297,6526 15TH AVE NE,Failure to pay relocation assistance pursuant to an Emergency Order to Vacate and Close as required by SMC 22.206.260
1021296,511 W MERCER PL,SDOT has asked to have the trees pruned on the street side so the speed sign is visible.
1021294,9409 44TH AVE SW,Constructing a deck more than 18 above grade in a Steep Slope & Potential Slide Environmentally Critical Area (ECA) requires zoning approval & permit and inspections from DPD. STOP WORK ORDER posted 12/2/09.
1021293,3016 ALKI AVE SW,Permit 6230924 was issued 12/4/09 and received final approval 2/24/12 for work originally started without a permit and inspections.
1021292,2216 SW ORCHARD ST,Permit 6235108 was issued 12/8/09 and received final approval 1/4/10 for work originally started without a permit and inspections.
1021291,205 NW 65TH ST,PERMIT REQUIRED FOR DECK STRUCTURE HIGHER THAN 18 INCHES
1021290,9761 3RD AVE NW,Violation of the Just Cause Eviction Ordinance
1021289,8304 34TH AVE NE,Weeds and Vegetation Ordinance Violation
1021288,107 22ND AVE,Violation of the Land Use & Zoning Code
1021287,10504 DURLAND AVE NE,Vegetation Ordinance Violation
1021286,7112 SYLVAN LN SW,12/4/09 ej- Inspection shows outdoor junk storage of a inoperable vehicle.
