id,case_type,description,case_group
18883,HOUSING / ZONING,"Inspection shows Housing code violation such as but not limited to missing weather stripping, broken wall covering, deteriorated doors, missing electrical panel cover, torn floor covering, deteriorated chalking around tubs, broken window glazing, loose light switch covers and other miscellaneous items.",HOUSING
18884,HOUSING / ZONING,Inspection shows car rental (leasing) in a L-1 zone.,ZONING
18885,CONSTRUCTION,SUBMIT REVISED PLANS THAT SHOW THE GARAGE WITH AS BUILT CHANGES OR BUILD THE GARAGE AS SHOWN ON APPROVED PLAN,BUILDING
18886,HOUSING / ZONING,NS inspected the property on 1/29/09- several housing violations,HOUSING
18887,HOUSING / ZONING,Violation of Land Use Code.,ZONING
18888,CONSTRUCTION,13 INCH CEDAR TREE ALONG SOUTH PROPERTY LINE HAS BEEN REMOVED--PLANS SHOW THAT TREE IS TO REMAIN--SUBMIT REVISED PLANS,SITE
18889,CONSTRUCTION,PERMITS REQUIRED FOR NON-STRUCTURAL ALTERATIONS,BUILDING
18890,CITATION,Vegetation obstructing the sidewalk along S Roxbury St & 53rd Ave S. photos taken,WEEDS AND VEGETATION
18891,CITATION,"Inspection shows outdoor junk storage such as but not limited to inoperable vehicles, auto parts, tires, metal and other miscellaneous items.",ZONING
18892,CITATION,"Vegetation obstructing sidewalk, photos taken. bg",WEEDS AND VEGETATION
18893,HOUSING / ZONING,Inspection shows fence exceeds the allowed height (6) for solid fence.,ZONING
18894,HOUSING / ZONING,"VIOLTION OF THE SEATTLE LAND USE AND ZONING CODE CONFIRMED TWO SOFAS,  & SCRAP WOOD NEX TO DUMPSTERS FOR MORE THAN 72 HOURS IN C140 ZONE.",ZONING
18895,CITATION,"Vegetation obstructing the sidewalk, photos taken. bg",WEEDS AND VEGETATION
18896,CITATION,Inspection shows fence exceeds the allowed height (6) for solid fence.,ZONING
18897,HOUSING / ZONING,Violation of City of Seattle Municipal Code Section 22.206.260 for failure to pay relocation assistance pursuant to an Emergency Order to Vacate and Close,HOUSING
18898,CITATION,NO EVIDENCE OF TRAILER BEING USED FOR SLEEPING OBSERVED TIRES AND STEEL SINK IN YARDS.,ZONING
18899,CITATION,Inspection shows more than the allowed 3 domestic fowl in a single family zone.,ZONING
18900,CITATION,"Inspection shows outdoor junk storage such but not limited to broken door, toilet, buckets and other miscellaneous items.",ZONING
18901,HOUSING / ZONING,Building open to weather.,VACANT BUILDING
18902,CITATION,Vegetation encroaching onto the sidewalk along NE 82nd St and 22nd Ave NE. photos taken. bg,WEEDS AND VEGETATION
18903,CITATION,Vegetation encroaching onto the sidewalk along 4th Ave NW and NW 43rd St. photos taken,WEEDS AND VEGETATION
18904,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (PILLOWS, CAR SEAT PLASTIC IN YARD. TOOK PHOTOS.",ZONING
18905,CITATION,Vegetation encroaching onto sidewalk. photos taken,WEEDS AND VEGETATION
18906,HOUSING / ZONING,Inspection shows car rental (leasing) in a L-1 zone.,ZONING
18907,CITATION,Vegetation along Aurora Ave N encroaching onto sidewalk and <8' over sidewalk. Birch tree is leaning all the way over the sidewalk. Photos taken.,WEEDS AND VEGETATION
18908,CITATION,Inspection shows outdoor junk storage such as but not limited to car parts in the front yard.,ZONING
18909,CONSTRUCTION,Ecology block retaining wall on south side of property (built without a permit) is failing and the slope on the south and east sides of the house have de-stabilized.,BUILDING
18910,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:1; total units occupied:1. Demolition.,
18911,HOUSING / ZONING,A triplex permitted as a duplex.,ZONING
18912,CONSTRUCTION,REVEGETATION IS REQUIRED FOR THREE TREES CUT DOWN IN STEEP SLOPE ECA,SITE
18913,CONSTRUCTION,SIGN PERMIT IS REQIRED TO INSTALL WALL SIGN,SIGNS
18914,CITATION,"Vegetation obstructing sidewalk,<8'over the sidewalk. photos taken",WEEDS AND VEGETATION
18915,CITATION,"Vegetation encroaching onto sidewalk, photos taken bg",WEEDS AND VEGETATION
18916,HOUSING / ZONING,Violation of the Just Cause Eviction Ordinance due to issuance by property manager of two (2) deficient 3 Day Pay or Vacate Notices.      Notice of Violation issued.,JUST CAUSE EVICTION
18917,CITATION,Violation of Land Use- Outdoor junk storage,ZONING
18918,CITATION,"NS inspected the property on 1/29/09-inspection shows a silver color Volkswagen parked in the required side yard, a white truck parked in the alley and some outdoor junk storage including but not limited to pile of wood, tires and vegetation debris stored in the rear yard.",ZONING
18919,CONSTRUCTION,NEW ROOF SYSTEM REQUIRES PERMIT,BUILDING
18920,CITATION,NS inspected the property on 1/29/09-inspection shows an inoperable burgundy Chrysler with flat tire and also pile of outdoor junk storage stored in the back of the house.,ZONING
18921,CITATION,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (VEHICLES PARKED IN REQUIRED FRONT YARD 7  TIRES IN YARD0> TOOK PHOTOS.,ZONING
18922,CITATION,outdoor junk on sfr prop in sf/Ltd split zone,ZONING
18923,CITATION,"Vegetation encroaching onto sidewalk, along with debris in the front yard and driveway.  photos taken.",WEEDS AND VEGETATION
18924,CITATION,"Junk located around the apartment complex, automobile seats, mattress, sofa, a television and miscellaneous garbage. photos taken.",ZONING
18925,HOUSING / ZONING,Water leak from ceiling during heavy rains.,HOUSING
18926,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:11; Total units occupied:11. Demolition.,
18927,CITATION,"Vegetation overhangs the street along Bonair, north side of the property. photos taken. bg",WEEDS AND VEGETATION
18928,CONSTRUCTION,PERMIT REQUIRED FOR NEW ROOF TRUSSES,BUILDING
18929,HOUSING / ZONING,Violation of Land Use- Illegal dwelling units,ZONING
18930,HOUSING / ZONING,violation of Land use- Illegal dwelling unit,ZONING
18931,CITATION,Land Use Code Violation,ZONING
18932,CITATION,"Inspected property, observed violation of Land Use Code.",ZONING
18933,CITATION,Land Use Code Violation,ZONING
18934,CONSTRUCTION,INSPECTOR DOCUMENTED PEPSI SIGN PAINTED ON NORTH FACE OF BUILDING--SIGN MUST BE REMOVED,SIGNS
18935,CONSTRUCTION,STOP WORK POSTED--PERMIT REQUIRED FOR REMODEL,BUILDING
18936,CONSTRUCTION,STOP WORK POSTED--PERMIT REQIRED FOR REMODEL,BUILDING
18937,HOUSING / ZONING,Housing violatoins,HOUSING
18938,HOUSING / ZONING,Several housing violations,HOUSING
18939,CONSTRUCTION,WALL IS IN FAILURE MODE--NEED GEOTECH TO EVALUATE WALL AND THE SOIL BEHIND IT TO DETERMINE THE BEST METHOD OF STABILIZATION--OBTAIN A PERMIT BEFORE REPAIRING WALL,BUILDING
18940,CONSTRUCTION,Permit 6206917 was issued 2/6/09 and received final approval 7/23/09 for work originally started without a permit and inspections.,BUILDING
18941,HOUSING / ZONING,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE WAS OBSERVED (UPHOLSTERED FURNITURE, PAPER BOXES, CARPET AND OTHER MATERIALS IN YARD.",ZONING
18942,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:4; Total units occupied:2. Demolition.,
18943,CITATION,Violation of Land Use Code- Outdoor junk storage,ZONING
18944,CITATION,Land Use Code Violation,ZONING
18945,CONSTRUCTION,Permit 6207845 was issued on 2/10/09 for electrical work performed without a permit.,ELECTRICAL
18946,CITATION,"This is a corner lot, no sidewalk however the vegetation at the corner of 128th St and Meridian Ave N is overgrown.  While on Meridian heading south the vegetation blocks the view of oncoming traffic heading west on N 128th St.  photos taken.",WEEDS AND VEGETATION
18947,CITATION,"Furniture in the front yard and rear side yard, chairs, mattress, vacuum cleaner, stereo speaker and miscellaneous household items.  Two vehicles in rear yard on the grass in side yard, inoperable?  photos taken.",ZONING
18948,CONSTRUCTION,GRADING PERMIT IS REQUIRED FOR STOCKPILING--EROSION CONTROL MEASURES MUST BE INSTALLED,SITE
18949,CITATION,A number of bags of garbage dumped over the fence at the rear of the property into blackberry bushes.  The blackberry bushes encroaching into the alley. photos taken,ZONING
18950,CONSTRUCTION,"Grading (adding fill) more than 100 cu.yds. on a site mapped ECA 1, ECA 2 & ECA 9 requires a permit & inspections from DPD.",SITE
18951,CITATION,"Garbage bags full of trash, tires, a construction safety barrel, including but not limited to miscellaneous construction and household debris.",ZONING
18952,CITATION,"Vegetation encroaching over the sidewalk, photos taken.",WEEDS AND VEGETATION
18953,CITATION,Ivy hedge encroaching into the alley.  An inoperable vehicle up on jacks in the front driveway. photos taken. bg,WEEDS AND VEGETATION
18954,CITATION,"Vegetation encroaching onto sidewalk and <8' in height.  Junk stored in carport, toilet boxes, tarps. photos taken",WEEDS AND VEGETATION
18955,CONSTRUCTION,TREES HAVE BEEN TOPPED ON WEST SIDE OF PROPERTY--RESTORATION REQUIRED,SITE
18956,CITATION,"The hedge at the front of the property is encroaching onto the sidewalk, photos taken. bg",WEEDS AND VEGETATION
18957,CONSTRUCTION,Framed structure attached to entry porch on the south side does not require a building permit.,BUILDING
18958,CONSTRUCTION,SIDE SEWER PERMIT IS NEEDED FOR NEW DRAIN LINES WHICH MUST BE REINSTALLED TO MEET CODE,SITE
18959,CITATION,Trees overhanging public sidewalk <8'. photo taken bg,WEEDS AND VEGETATION
18960,HOUSING / ZONING,Observed several white trucks and a very large enclosed trailer like vehicle.  In the rear there is a very large - very tall 2 story garage w/curtained windows and a late model Chevy Equinox SUV parked next to it.  There is a garage door - however it does not appear to be used. opening case illegal use beyond the permit conditions.,ZONING
18961,HOUSING / ZONING,NO VIOLATION OF THE LAND USE & ZONING CODE/SEE LOG NOTES.,ZONING
18962,HOUSING / ZONING,Inspection shows illegal ADU in the basement of the house.,HOUSING
18963,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:3; total units occupied:3. Demolition.,
18964,HOUSING / ZONING,"Inspection shows outdoor junk storage such as but not limited to car seats, cots, water jugs and other miscellaneous items.",HOUSING
18965,CITATION,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED INOPERABLE VEHICLE (PLATE # 676-WGD0 WITH REAR PASSENGER SIDE TIRE OFF AXLE.,ZONING
18966,CONSTRUCTION,Permit 6206588 was issued 2/20/09 and received final approval 5/11/09 for work originally started without a permit.,BUILDING
18967,TENANT RELOCATION ORDINANCE,Violation of the Tenant Relocation Assistance Ordinance (Seattle Municipal Code Chapter 22.210).  Total units: 1; total units occupied: 1. Demolition.,
18968,CONSTRUCTION,NO SIGN PERMIT--ALSO ADVERTISES PRODUCTS NOT SOLD ON SITE,SIGNS
18969,CITATION,"Inspection shows outdoor junk storage such as but not limited to sky lights, auto parts, metal, inoperable vehicles, pots and other miscellaneous items.",ZONING
18970,CONSTRUCTION,PERMIT REQUIRED FOR BUILDING REPAIR,BUILDING
18971,HOUSING / ZONING,Issuance of a deficient notice to terminate tenancy in violation of the Just Cause Eviction Ordinance (SMC 22.206.160.C),JUST CAUSE EVICTION
18972,HOUSING / ZONING,Multiple minor housing violations.,HOUSING
18973,CITATION,"Inspection shows outdoor junk storage such as but limited to car parts ( truck canopy, broken pieces of granite, wood, inoperable vehicles and other miscellaneous items.",ZONING
18974,HOUSING / ZONING,Structure open to entry.,VACANT BUILDING
18975,HOUSING / ZONING,Property open to entry.,VACANT BUILDING
18976,HOUSING / ZONING,I observed junk storage in the rear yard,ZONING
18977,CONSTRUCTION,PERMIT NEEDED FOR CARPORT,BUILDING
18978,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:6; total units occupied:6. Demolition.                                                 Violation of SMC 22.210.080; submission by property owner of false claims relating to delivery of Tenant Information Packets.,
18979,HOUSING / ZONING,Outdoor junk storage and junk cars.,ZONING
18980,CITATION,NS inspected the property on 1/20/09- inspection shows a Operating telecommunications buss.out of the home in a residential zone. 3 dish antennas are mounted on towers on top of the roof of the garage.,ZONING
18981,CITATION,"Inspected property, observed violation of Land Use Code.",ZONING
18982,HOUSING / ZONING,Housing and Building Maintenance Code Violation,HOUSING
18983,TENANT RELOCATION ORDINANCE,Issuance of Owner's Certification of Occupancy or No Displacement,
18984,TENANT RELOCATION ORDINANCE,Issuance of Owner's Certification of Occupancy or No Displacement,
18985,CITATION,Land Use Code Violation,ZONING
18986,TENANT RELOCATION ORDINANCE,Issuance of Owner's Certification of Occupancy or No Displacement,
18987,CITATION,Vegetation encroaching on the sidewalks along California Ave SW and Palm Ave SW.  Encroaching over the sidewalks along the front side and rear of the property.  photos taken,WEEDS AND VEGETATION
18988,CITATION,Boxes and assorted household goods on the front porch along with some debris in the front yard. Property is for sale. photos taken,ZONING
18989,CITATION,"Hedge along SW Dakota St, encroaching onto sidewalk.  Violation of the Weeds/vegetation ordinance.  photos taken. bg",WEEDS AND VEGETATION
18990,CITATION,"Tree branches along Lewis Pl SW are <8' above the sidewalk, violation of the weeds/vegetation ordinance. photo taken.",WEEDS AND VEGETATION
18991,CITATION,Possible inoperable vehicle.,ZONING
18992,HOUSING / ZONING,Violation of Land Use- Light and Glare,ZONING
18993,CITATION,Piles of vegetation and an old TV.,ZONING
18994,CITATION,Violation of Weeds and Veg. Ordinance-,WEEDS AND VEGETATION
18995,CITATION,Violation of Land Use- Outdoor junk storage in single family zone,ZONING
18996,CITATION,Land Use Code Violation,ZONING
18997,CITATION,outdoor junk storage & pking in req'd yard,ZONING
18998,HOUSING / ZONING,"Inspected property, observed violation of Housing, Building and Maintenance Code.",HOUSING
18999,CONSTRUCTION,RESTORATION PLAN IS REQUIRED FOR TREES CUT IN STEEP SLOPE ECA,SITE
19000,CITATION,"vegetation over sidewalk, st & obscuring traffic sign",WEEDS AND VEGETATION
19001,CONSTRUCTION,SANITARY CONNECTION MUST BE CHANGED TO STORM DRAINAGE UNDER A NEW SIDE SEWER PERMIT,SITE
19002,CONSTRUCTION,Side Sewer Permit 6222691 was issued 7/28/09 and received final approval 7/31/09 for making repairs to broken shared side sewer.,SITE
19003,CITATION,NS inspected the property on 1/13/09- vegetation encroaching into the sidewalk,WEEDS AND VEGETATION
19004,CONSTRUCTION,Carport built in a rear yard without a permit has been removed.,BUILDING
19005,CONSTRUCTION,Permit 6208826 was issued 3/25/09 and received final approval on 3/31/09 for work originally performed without a permit.,BUILDING
19006,CITATION,Shrubs along 10th Ave E are hanging over the sidewalk <8'.  photo taken,WEEDS AND VEGETATION
19007,CITATION,"Inspection shows outdoor junk storage such as but not limited to inoperable vehicles, tires, buckets and other miscellaneous debris.",ZONING
19008,CITATION,"Inspection shows outdoor junk storage such as but not limited to, as tattered window blind, tires and other miscellaneous items.",ZONING
19009,CITATION,"Inspection shows outdoor junk storage such as but not limited, buckets, sinks, wood and other miscellaneous items.",ZONING
19010,HOUSING / ZONING,There is a shed in the required side yard.,ZONING
19011,CONSTRUCTION,CARPORT IN FRONT YARD NOT ALLOWED BY LAND USE CODE,ZONING
19012,CITATION,"Inspection shows outdoor junk storage such as but not limited to rubbish, tires, tarps and other miscellaneous items.",ZONING
19013,CITATION,"NS inspected the property on 1/15/09- inspection shows outdoor junk storage including but not limited to computer monitors, buckets, wood debris and bags of garbage stored out in the back right by the alley.",ZONING
19014,HOUSING / ZONING,HBMC violations,HOUSING
19015,CITATION,Land Use Code Violation,ZONING
19016,HOUSING / ZONING,"Inspected vacant property, open to entry and weather.",VACANT BUILDING
19017,CITATION,"NS inspected the property on 1/15/09-Inspection shows outdoor junk storage including but not limited to pile of wood, cinder blocks, bricks and wood brackets stored in the required front and side yard.",ZONING
19018,CITATION,"Vegetation over the sidewalk on Jefferson St, <8' off the sidewalk.",WEEDS AND VEGETATION
19019,CITATION,Vegetation encroaching on to sidewalk from the planting strip and from the front yard.,WEEDS AND VEGETATION
19020,CITATION,"Inspection shows outdoor junk storage such as but not limited to bags of garbage, metal, broken children toys and other miscellaneous items.",ZONING
